car type,price,mileage,gear_type,year,cynlinder,date
Land Rover  Range Rover  Vogue HSE,830000.0,0.0,Automatic,2023,8,2023-01-27
Toyota  Land Cruiser  GXR- Grand Touring,223000.0,14000.0,Automatic,2021,6,2023-01-27
Toyota  Land Cruiser  GXR,245000.0,51000.0,Automatic,2022,6,2023-01-27
Land Rover  Range Rover  Vogue Super charged,369000.0,27000.0,Automatic,2020,8,2023-01-27
Lexus  LX  600 Luxury,669000.0,0.0,Automatic,2023,6,2023-01-27
Lexus  LX  600 Luxury,665000.0,0.0,Automatic,2023,6,2023-01-27
Lexus  LX  570,214000.0,259000.0,Automatic,2016,8,2023-01-27
Lexus  LX  570,221000.0,220000.0,Automatic,2016,8,2023-01-27
Land Rover  Evoque,65000.0,135000.0,Automatic,2015,6,2023-01-27
Mercedes-Benz  E-Class  350,30000.0,251000.0,Automatic,2013,6,2023-01-27
Chevrolet  Corvette  C7,129000.0,115000.0,Automatic,2015,8,2023-01-27
Toyota  Land Cruiser  GX,85000.0,290000.0,Manual,2013,6,2023-01-27
BMW  X-Series  X6 M,129000.0,100000.0,Automatic,2016,8,2023-01-27
Lexus  LX  570 S,160000.0,106000.0,Automatic,2014,8,2023-01-27
Lexus  LX  570 S,310000.0,74000.0,Automatic,2019,8,2023-01-27
Lexus  LC  500,255000.0,43000.0,Automatic,2018,6,2023-01-27
Mercedes-Benz  G-Class  63 AMG,180000.0,100000.0,Automatic,2014,8,2023-01-27
Dodge  Ram  Limited,212000.0,17000.0,Automatic,2020,8,2023-01-27
BMW  4-Series  435 I,79000.0,91000.0,Automatic,2016,6,2023-01-27
Mini  Cooper  S,69000.0,76000.0,Automatic,2017,4,2023-01-27
Lexus  LX  570,268000.0,145000.0,Automatic,2017,8,2023-01-27
Nissan  Patrol  Platinum,98000.0,221000.0,Automatic,2015,8,2023-01-27
Chevrolet  Silverado,95000.0,85000.0,Automatic,2018,8,2023-01-27
Nissan  Patrol  SE,167000.0,90000.0,Automatic,2020,6,2023-01-27
Toyota  Land Cruiser  VXR,228000.0,120000.0,Automatic,2019,8,2023-01-27
Toyota  Hilux,88000.0,108000.0,Automatic,2020,4,2023-01-27
Toyota  Land Cruiser  GXR Twin Turbo,289000.0,0.0,Automatic,2023,6,2023-01-27
Toyota  Land Cruiser  GR Sport Twin Turbo,388000.0,28000.0,Automatic,2022,6,2023-01-27
Dodge  Ram  laramie,219000.0,0.0,Automatic,2022,8,2023-01-27
Dodge  Ram  1500 Laramie,215000.0,0.0,Automatic,2022,8,2023-01-27
Maserati  Ghibli,87000.0,54000.0,Automatic,2015,6,2023-01-27
Jeep  Wrangler  Sahara,163000.0,0.0,Automatic,2021,6,2023-01-27
